"Timestamp","Select your gender.","Select your age range.","Select your country.","Specify the city or town you reside in.","How do you classify your location","Do you think that alarms sounding off are an effective way to discourage criminal activity?","Support your above selection.","Do you believe that an automated alert from a surveillance system* would improve authority response time?","Support your above selection.","Have you or someone you know been a victim of assault (with or without a deadly weapon)?","Have you or someone you know been affected by arson* or any type of property damage as a result of accidental fire?","Do you believe that if security were more effective in our communities the rate of crime would be lower?","Have you ever been concerned about your own safety?","How anxious does living in your neighbourhood make you feel?","How would you feel about implementation of smart surveillance in your neighbourhoud?","Where you live - do you know if any of the following types of crimes exist? [Gang violence]","Where you live - do you know if any of the following types of crimes exist? [Common assault]","Where you live - do you know if any of the following types of crimes exist? [People carrying deadly weapons]","Where you live - do you know if any of the following types of crimes exist? [Arson]","How much safer would you feel if your surroundings were under smart surveillance?"
"2020/07/08 6:56:03 pm EET","Male","21-25","South Africa","Lichtenburg ","Suburb","Yes","Personal experience ","Yes","Not only  necessarily response time but to alert home owners as well ","Yes","No","Yes","Yes","2","5","I think this happens in my community.","I think this happens in my community.","I think this happens in my community.","This doesn't happen in my community.","5"
"2020/07/08 6:59:51 pm EET","Female","26-30","South Africa","Kimberley, Northern Cape","Township / Locations","Yes","It helps but then again it would also be nice having a watch team in each area ","Yes","It depends on the workers. If they work efficiently it will work out","Yes","No","Yes","Yes","3","5","This happens in my community.","This happens in my community.","This happens in my community.","I think this happens in my community.","5"
"2020/07/08 7:00:27 pm EET","Male","21-25","South Africa","Johannesburg","Township / Locations","Yes","They alert people around a particular area whenever there's a break in or crime activities. Therefore, it allows proper self protection and easily seek for help.","Yes","","Yes","No","Yes","Yes","3","5","This happens in my community.","I think this happens in my community.","This happens in my community.","I don't know if this happens in my community.","4"
"2020/07/08 7:03:13 pm EET","Female","16-20","South Africa","Kimberley ","Suburb","Yes","They do not like factors
that will put the attention on them.","Yes","Authorities would be able to take immediate action because of the fast alert.","Yes","No","Yes","Yes","3","5","This doesn't happen in my community.","This doesn't happen in my community.","This doesn't happen in my community.","This doesn't happen in my community.","5"
"2020/07/08 7:04:48 pm EET","Male","16-20","South Africa","Kimberley","Suburb","Yes","Alarms draw attention to criminal activity and as such, the violators are less likely to continue","Yes","in order to help get the necessary help when needed","Yes","No","Yes","Yes","3","5","I think this happens in my community.","This happens in my community.","This happens in my community.","I think this happens in my community.","5"
"2020/07/08 7:05:19 pm EET","Female","35+","South Africa","Kimberley ","Suburb","Yes","Some companies respond rapidly ","Yes","They must just be fully committed ","Yes","Yes","Yes","Yes","4","5","I think this happens in my community.","This happens in my community.","I think this happens in my community.","I think this happens in my community.","5"
"2020/07/08 7:05:21 pm EET","Female","21-25","South Africa","Kimberley","Suburb","Yes","Because the load sounds discourages and warns people about a crime","Yes","","Yes","No","Yes","Yes","3","4","I don't know if this happens in my community.","This happens in my community.","This happens in my community.","I think this happens in my community.","5"
"2020/07/08 7:07:34 pm EET","Male","21-25","South Africa"," Cape Town","Township / Locations","Yes","The loud noise made by alarms alerts neighbors and people in the area that suspicious activity is taking place. Therefore they'll be on high alert and be concerned about what is happening. ","Yes","Having automated alert would give people enough time to concentrate on other measures to protect themselves or alert other people. ","No","No","Yes","Yes","3","5","This happens in my community.","This happens in my community.","This happens in my community.","I don't know if this happens in my community.","3"
"2020/07/08 7:07:53 pm EET","Male","16-20","South Africa","Kimberley ","Suburb","Yes","Makes them anxious","Yes","It would increase the probability of stopping the crime and finding the culprit ","Yes","No","No","No","3","4","This happens in my community.","This happens in my community.","This happens in my community.","I think this happens in my community.","4"
"2020/07/08 7:08:35 pm EET","Male","26-30","South Africa","Kimberley ","Suburb","Yes","it makes a lot of noise and alert the security companys ","Yes","","Yes","No","No","Yes","2","3","This doesn't happen in my community.","I think this happens in my community.","I don't know if this happens in my community.","I don't know if this happens in my community.","3"
